sample_id,site,visit,group4,nILC,n_IL10_ge1,n_PDL1_ge1,n_DP_lite,IL10_ge1_pct,PDL1_ge1_pct,DP_lite_pct
P2_V1_L,L,V1,L_V1,418,28,54,8,6.698564593301436,12.91866028708134,1.9138755980861244
P3_V1_L,L,V1,L_V1,416,25,49,4,6.009615384615385,11.778846153846153,0.9615384615384616
P5_V1_L,L,V1,L_V1,168,2,26,1,1.1904761904761905,15.476190476190476,0.5952380952380952
P1_V2_L,L,V2,L_V2,137,1,8,0,0.7299270072992701,5.839416058394161,0
P2_V2_L,L,V2,L_V2,153,3,18,1,1.9607843137254901,11.764705882352942,0.6535947712418301
P3_V2_L,L,V2,L_V2,147,2,10,0,1.3605442176870748,6.802721088435374,0
P4_V2_L,L,V2,L_V2,130,2,5,0,1.5384615384615385,3.8461538461538463,0
P5_V2_L,L,V2,L_V2,261,3,10,0,1.1494252873563218,3.8314176245210727,0
P1_V3_L,L,V3,L_V3,1415,13,25,5,0.9187279151943463,1.7667844522968197,0.35335689045936397
P2_V3_L,L,V3,L_V3,257,7,22,2,2.7237354085603114,8.560311284046692,0.7782101167315175
P3_V3_L,L,V3,L_V3,426,24,29,11,5.633802816901408,6.807511737089202,2.5821596244131455
P4_V3_L,L,V3,L_V3,190,6,24,2,3.1578947368421053,12.631578947368421,1.0526315789473684
P5_V3_L,L,V3,L_V3,1587,3,12,0,0.1890359168241966,0.7561436672967864,0
P1_V1_NL,NL,V1,NL_V1,3049,8,23,0,0.26238110856018365,0.7543456871105281,0
P2_V1_NL,NL,V1,NL_V1,1429,23,53,8,1.609517144856543,3.70888733379986,0.5598320503848845
P3_V1_NL,NL,V1,NL_V1,1011,17,20,3,1.6815034619188922,1.9782393669634026,0.29673590504451036
P4_V1_NL,NL,V1,NL_V1,3088,57,88,10,1.8458549222797926,2.849740932642487,0.3238341968911917
P5_V1_NL,NL,V1,NL_V1,3740,32,39,7,0.8556149732620321,1.0427807486631016,0.18716577540106952
